name,start_time,end_time,mileage,color,first_opening,url,intro
10号线,06:04,23:00,29.311,粉红色,2020-8-18,https://baike.baidu.com/item/深圳地铁10号线/377485?fromModule=lemma_inlink,深圳地铁10号线（Shenzhen Metro Line 10），也称“深圳地铁坂田线”，是中国广东省深圳市第10条建成运营的地铁线路，于2020年8月18日开通运营，其标志色为粉红色 。截至2020年8月，深圳地铁10号线南起福田口岸站，途经福田区、龙岗区，止于双拥街站 。截至2020年8月，深圳地铁10号线全长29.311千米 ，共设24座车站，全部为地下站 ；采用8节编组A型列车 。深圳地铁10号线（Shenzhen Metro Line 10），也称“深圳地铁坂田线”，是中国广东省深圳市第10条建成运营的地铁线路，于2020年8月18日开通运营，其标志色为粉红色 。截至2020年8月，深圳地铁10号线南起福田口岸站，途经福田区、龙岗区，止于双拥街站 。截至2020年8月，深圳地铁10号线全长29.311千米 ，共设24座车站，全部为地下站 ；采用8节编组A型列车 。
11号线,06:15,23:30,53.54,紫红色,2016-6-28,https://baike.baidu.com/item/深圳地铁11号线/10437009?fromModule=lemma_inlink,深圳地铁11号线（Shenzhen Metro Line 11）是中国广东省深圳市境内第6条建成运营的地铁线路，于2016年6月28日开通运营，其标志色为紫红色。截至2022年11月，深圳地铁11号线大致呈“L形”走向，起于岗厦北站，途经福田区、南山区、宝安区，贯穿大空港地区、城市商务区，前海、后海片区，止于碧头站。截至2022年11月，深圳地铁11号线全长53.536千米，其中地下线40.949千米，高架线11.136千米，过渡段1.451千米  ；共设置19座车站，地下站15座，高架站4座，列车设计时速为120千米/小时，采用8节编组A型列车，其中6节编组为普通车厢，2节为商务车厢 。截至2020年，深圳地铁11号线日均客流量为31.2万人次 ；截至2023年10月，深圳地铁11号线日最高客运量为81.32万人次 。2023年7月7日，根据深圳市人民政府新闻办公室消息，深圳地铁11号线北延线（深圳段）纳入深圳市城市轨道交通第五期建设规划 。深圳地铁11号线（Shenzhen Metro Line 11）是中国广东省深圳市境内第6条建成运营的地铁线路，于2016年6月28日开通运营，其标志色为紫红色。截至2022年11月，深圳地铁11号线大致呈“L形”走向，起于岗厦北站，途经福田区、南山区、宝安区，贯穿大空港地区、城市商务区，前海、后海片区，止于碧头站。截至2022年11月，深圳地铁11号线全长53.536千米，其中地下线40.949千米，高架线11.136千米，过渡段1.451千米  ；共设置19座车站，地下站15座，高架站4座，列车设计时速为120千米/小时，采用8节编组A型列车，其中6节编组为普通车厢，2节为商务车厢 。截至2020年，深圳地铁11号线日均客流量为31.2万人次 ；截至2023年10月，深圳地铁11号线日最高客运量为81.32万人次 。2023年7月7日，根据深圳市人民政府新闻办公室消息，深圳地铁11号线北延线（深圳段）纳入深圳市城市轨道交通第五期建设规划 。
12号线,06:12,23:00,40.54,淡紫色,2022-11-28,https://baike.baidu.com/item/深圳地铁12号线/9865780?fromModule=lemma_inlink,深圳地铁12号线（Shenzhen Metro Line 12），也称“深圳地铁南宝线”，是中国广东省深圳市境内第14条建成运营的地铁线路，其一期工程于2022年11月28日开通运营，标志色为淡紫色 。深圳地铁12号线一期工程起于左炮台东站，途经宝安区、南山区，串联前海蛇口自贸片区、南山中心片区、宝安中心区、西乡片区、机场东片区、福永片区、大空港片区及会展片区等地区，止于海上田园东站；二期工程将延伸至松岗站 。深圳地铁12号线一期全长40.56千米，共设33座车站；采用6节编组A型列车，采用自动化无人驾驶技术，最高运营速度80千米/小时 。深圳地铁12号线（Shenzhen Metro Line 12），也称“深圳地铁南宝线”，是中国广东省深圳市境内第14条建成运营的地铁线路，其一期工程于2022年11月28日开通运营，标志色为淡紫色 。深圳地铁12号线一期工程起于左炮台东站，途经宝安区、南山区，串联前海蛇口自贸片区、南山中心片区、宝安中心区、西乡片区、机场东片区、福永片区、大空港片区及会展片区等地区，止于海上田园东站；二期工程将延伸至松岗站 。深圳地铁12号线一期全长40.56千米，共设33座车站；采用6节编组A型列车，采用自动化无人驾驶技术，最高运营速度80千米/小时 。
14号线,06:00,23:30,50.34,淡黄色,2022-10-28,https://baike.baidu.com/item/深圳地铁14号线/18011222?fromModule=lemma_inlink,深圳地铁14号线（Shenzhen Metro Line 14），也称“深圳地铁东部快线”，是中国广东省深圳市第13条建成运营的地铁线路，于2022年10月28日开通运营 ，其标志色为黄色 。深圳地铁14号线一期工程起于岗厦北站，途经福田区、罗湖区、龙岗区、坪山区，串联福田中心区、布吉、横岗、大运新城、坪山中心、坑梓等地区，止于沙田站 。深圳地铁14号线一期全长50.34千米，共设18座车站，全部为地下站；采用8节编组A型列车，采用自动化无人驾驶技术，最高运营速度120千米/小时 。深圳地铁14号线（Shenzhen Metro Line 14），也称“深圳地铁东部快线”，是中国广东省深圳市第13条建成运营的地铁线路，于2022年10月28日开通运营 ，其标志色为黄色 。深圳地铁14号线一期工程起于岗厦北站，途经福田区、罗湖区、龙岗区、坪山区，串联福田中心区、布吉、横岗、大运新城、坪山中心、坑梓等地区，止于沙田站 。深圳地铁14号线一期全长50.34千米，共设18座车站，全部为地下站；采用8节编组A型列车，采用自动化无人驾驶技术，最高运营速度120千米/小时 。
16号线,05:49,23:00,29.2,靛青色,2022-12-28,https://baike.baidu.com/item/深圳地铁16号线/10161323?fromModule=lemma_inlink,深圳地铁16号线（Shenzhen Metro Line 16），又称“深圳地铁龙坪线”，是中国广东省深圳市境内第16条建成运营的地铁线路，于2022年12月28日开通运营一期工程（大运站至田心站），其标志色为靛青色 。深圳地铁16号线一期工程起于大运站，途经龙岗区、坪山区，主要串联爱联、回龙埔、龙平、坪山中心、江岭沙壆、田头田心等片区，止于田心站，大致呈东西走向 。深圳地铁16号线一期工程全长29.2千米，全部为地下线，设站24座，全部为地下站；采用6节编组A型列车，设计最高速度80千米/小时 。深圳地铁16号线（Shenzhen Metro Line 16），又称“深圳地铁龙坪线”，是中国广东省深圳市境内第16条建成运营的地铁线路，于2022年12月28日开通运营一期工程（大运站至田心站），其标志色为靛青色 。深圳地铁16号线一期工程起于大运站，途经龙岗区、坪山区，主要串联爱联、回龙埔、龙平、坪山中心、江岭沙壆、田头田心等片区，止于田心站，大致呈东西走向 。深圳地铁16号线一期工程全长29.2千米，全部为地下线，设站24座，全部为地下站；采用6节编组A型列车，设计最高速度80千米/小时 。
1号线,06:20,23:00,40.876,绿色,2004-12-28,https://baike.baidu.com/item/深圳地铁1号线/6178769?fromModule=lemma_inlink,深圳地铁1号线（Shenzhen Metro Line 1）是中国广东省深圳市第一条建成运营的地铁线路，于2004年12月28日开通运营一期工程，于2011年6月15日开通运营二期工程，其标志色为绿色 。截至2022年6月，深圳地铁1号线东起罗湖区罗湖站，途经福田区、南山区，西至宝安区机场东站，呈L型西北——东南走向 。截至2022年6月，深圳地铁1号线一二期工程线路总长40.876千米，共有30个站点，其中28座地下站，2座高架站，列车采用6节编组A型列车 。截至2023年10月，深圳地铁1号线单日最大客流量为2019年12月31日的143.9万人次 。深圳地铁1号线（Shenzhen Metro Line 1）是中国广东省深圳市第一条建成运营的地铁线路，于2004年12月28日开通运营一期工程，于2011年6月15日开通运营二期工程，其标志色为绿色 。截至2022年6月，深圳地铁1号线东起罗湖区罗湖站，途经福田区、南山区，西至宝安区机场东站，呈L型西北——东南走向 。截至2022年6月，深圳地铁1号线一二期工程线路总长40.876千米，共有30个站点，其中28座地下站，2座高架站，列车采用6节编组A型列车 。截至2023年10月，深圳地铁1号线单日最大客流量为2019年12月31日的143.9万人次 。
20号线,07:00,22:00,8.43,浅蓝色,2021-12-28,https://baike.baidu.com/item/深圳地铁20号线/19720067?fromModule=lemma_inlink,深圳地铁20号线（Shenzhen Metro Line 20），是中国广东省深圳市第12条建成运营的地铁线路，于2021年12月28日开通运营一期工程（机场北站至会展城站），标志色为浅蓝色   。深圳地铁20号线一期工程全线均位于宝安区境内，南起机场北站，途经深圳国际会展中心，止于会展城站，大致呈南北走向 ；二期工程将南延至白石洲站 。截至2021年12月，深圳地铁20号线一期工程全长8.43千米，全部为地下线；共设5座车站，全部为地下站；采用8节编组A型列车；设机场北车辆段  。深圳地铁20号线（Shenzhen Metro Line 20），是中国广东省深圳市第12条建成运营的地铁线路，于2021年12月28日开通运营一期工程（机场北站至会展城站），标志色为浅蓝色   。深圳地铁20号线一期工程全线均位于宝安区境内，南起机场北站，途经深圳国际会展中心，止于会展城站，大致呈南北走向 ；二期工程将南延至白石洲站 。截至2021年12月，深圳地铁20号线一期工程全长8.43千米，全部为地下线；共设5座车站，全部为地下站；采用8节编组A型列车；设机场北车辆段  。
2号线,05:50,22:44,39.567,暗橙色,2010-12-28,https://baike.baidu.com/item/深圳地铁2号线/389961?fromModule=lemma_inlink,深圳地铁2号线（Shenzhen Metro Line 2），是中国广东省深圳市第3条建成运营的地铁线路，于2010年12月28日开通运营一期工程， 2011年6月28日开通运营二期工程，2020年10月28日开通运营三期工程，与深圳地铁8号线贯通运营， 其标志色为暗橙色。截至2022年11月，深圳地铁2号线呈S形向东-西南走向，西起南山区赤湾站，途经福田区，东至罗湖区莲塘站。截至2022年11月，深圳地铁2号线全长39.567千米，均为地下线；共设32座车站，均为地下车站，列车设计时速80千米/小时，采用6节编组A型列车。  截至2018年7月，深圳地铁2号线单日最大客流量为2018年7月20日的66.8万人次。深圳地铁2号线（Shenzhen Metro Line 2），是中国广东省深圳市第3条建成运营的地铁线路，于2010年12月28日开通运营一期工程， 2011年6月28日开通运营二期工程，2020年10月28日开通运营三期工程，与深圳地铁8号线贯通运营， 其标志色为暗橙色。截至2022年11月，深圳地铁2号线呈S形向东-西南走向，西起南山区赤湾站，途经福田区，东至罗湖区莲塘站。截至2022年11月，深圳地铁2号线全长39.567千米，均为地下线；共设32座车站，均为地下车站，列车设计时速80千米/小时，采用6节编组A型列车。  截至2018年7月，深圳地铁2号线单日最大客流量为2018年7月20日的66.8万人次。
3号线,06:00,23:00,42.54,天蓝色,2010-12-28,https://baike.baidu.com/item/深圳地铁3号线/5649268?fromModule=lemma_inlink,深圳地铁3号线（Shenzhen Metro Line 3），是中国广东省深圳市第4条建成运营的地铁线路，于2010年12月28日开通运营一期工程，2011年6月28日开通运营二期工程，2020年10月28日开通运营三期南延工程，其标识色为天蓝色。 截至2024年1月，深圳地铁3号线线路呈M形西南-东北走向，东北起于双龙站，途经龙岗区、罗湖区、福田区，西南止于福保站。截至2024年1月，深圳地铁3号线全长42.54千米，设站31座，列车设计时速100千米/小时，采用6节编组B型列车。 截至2024年1月，深圳地铁3号线四期工程起于既有双龙站，终于坪地六联站，预计2024年开通运营  。截至2024年1月，深圳地铁3号线单日最大客流量为2018年9月21日的100万人次。 深圳地铁3号线（Shenzhen Metro Line 3），是中国广东省深圳市第4条建成运营的地铁线路，于2010年12月28日开通运营一期工程，2011年6月28日开通运营二期工程，2020年10月28日开通运营三期南延工程，其标识色为天蓝色。 截至2024年1月，深圳地铁3号线线路呈M形西南-东北走向，东北起于双龙站，途经龙岗区、罗湖区、福田区，西南止于福保站。截至2024年1月，深圳地铁3号线全长42.54千米，设站31座，列车设计时速100千米/小时，采用6节编组B型列车。 截至2024年1月，深圳地铁3号线四期工程起于既有双龙站，终于坪地六联站，预计2024年开通运营  。截至2024年1月，深圳地铁3号线单日最大客流量为2018年9月21日的100万人次。
4号线,06:00,23:00,31.3,红色,2004-12-28,https://baike.baidu.com/item/深圳地铁4号线/6179042?fromModule=lemma_inlink,深圳地铁4号线（Shenzhen Metro Line 4），是中国广东省深圳市第2条建成运营的地铁线路，于2004年12月28日开通运营一期工程，2011年6月16日开通运营二期工程，2020年10月28日开通运营三期工程，其标志色为红色 。深圳地铁4号线北起牛湖站，途经龙华区、福田区，贯穿深圳北站、市民中心、会展中心等重要区域，南至福田口岸站，是贯穿深圳南北的地铁主干线 。截至2021年1月，深圳地铁4号线全长31.3千米，共设23个站点，其中14座地下站，1座地面站和8座高架站；列车设计时速80千米/小时，采用6节编组A型地铁列车 。截至2021年1月，深圳地铁4号线单日最大客流量为2017年7月16日的60.9万人次 。深圳地铁4号线（Shenzhen Metro Line 4），是中国广东省深圳市第2条建成运营的地铁线路，于2004年12月28日开通运营一期工程，2011年6月16日开通运营二期工程，2020年10月28日开通运营三期工程，其标志色为红色 。深圳地铁4号线北起牛湖站，途经龙华区、福田区，贯穿深圳北站、市民中心、会展中心等重要区域，南至福田口岸站，是贯穿深圳南北的地铁主干线 。截至2021年1月，深圳地铁4号线全长31.3千米，共设23个站点，其中14座地下站，1座地面站和8座高架站；列车设计时速80千米/小时，采用6节编组A型地铁列车 。截至2021年1月，深圳地铁4号线单日最大客流量为2017年7月16日的60.9万人次 。
5号线,06:02,23:13,47.393,紫色,2011-6-22,https://baike.baidu.com/item/深圳地铁5号线/396122?fromModule=lemma_inlink,深圳地铁5号线（Shenzhen Metro Line 5），是中国广东省深圳市境内的一条地铁线路，于2011年6月22日开通运营一期工程，2019年9月28日开通运营二期工程，其标志色为紫色  。截至2022年6月，深圳地铁5号线呈M形东南-西北-西南走向，东起于黄贝岭站，途经罗湖区、龙岗区、龙华区、南山区、宝安区，西至赤湾站。截至2022年6月，深圳地铁5号线全长47.393千米，共设34个车站，列车设计时速80千米/小时，采用6节编组A型列车 。截至2018年10月，深圳地铁5号线单日最大客流量为2018年9月21日的107.5万人次 。深圳地铁5号线（Shenzhen Metro Line 5），是中国广东省深圳市境内的一条地铁线路，于2011年6月22日开通运营一期工程，2019年9月28日开通运营二期工程，其标志色为紫色  。截至2022年6月，深圳地铁5号线呈M形东南-西北-西南走向，东起于黄贝岭站，途经罗湖区、龙岗区、龙华区、南山区、宝安区，西至赤湾站。截至2022年6月，深圳地铁5号线全长47.393千米，共设34个车站，列车设计时速80千米/小时，采用6节编组A型列车 。截至2018年10月，深圳地铁5号线单日最大客流量为2018年9月21日的107.5万人次 。
6号线,06:10,23:00,49.514,薄荷绿,2020-8-18,https://baike.baidu.com/item/深圳地铁6号线/5650219?fromModule=lemma_inlink,深圳地铁6号线（Shenzhen Metro Line 6），是中国广东省深圳市境内的一条地铁线路，主线于2020年8月18日开通运营，支线一期工程于2022年11月28日通车 ，主线标志色为薄荷绿，支线标志色为湖绿色 。截至2022年11月，深圳地铁6号线主线大致呈“7字形”型走向，西北起于松岗站，途经宝安区、光明区、龙华区、罗湖区、福田区，东南止于科学馆站 ；支线一期工程起于光明站，止于深理工站 。截至2022年11月，深圳地铁6号线主线全长49.514千米，共设27座车站，其中12座地下站，15座高架站，列车设计时速100千米/小时，采用6节编组A型列车 。支线全长约11.03千米，其中一期工程长6.13千米，二期工程长4.9千米；共设7座车站，其中一期工程设站4座，二期工程设站3座；列车设计时速100千米/小时，采用6节编组B型列车 。2023年11月20日起，深圳地铁6号线将在工作日试行“大站快车”模式。 深圳地铁6号线（Shenzhen Metro Line 6），是中国广东省深圳市境内的一条地铁线路，主线于2020年8月18日开通运营，支线一期工程于2022年11月28日通车 ，主线标志色为薄荷绿，支线标志色为湖绿色 。截至2022年11月，深圳地铁6号线主线大致呈“7字形”型走向，西北起于松岗站，途经宝安区、光明区、龙华区、罗湖区、福田区，东南止于科学馆站 ；支线一期工程起于光明站，止于深理工站 。截至2022年11月，深圳地铁6号线主线全长49.514千米，共设27座车站，其中12座地下站，15座高架站，列车设计时速100千米/小时，采用6节编组A型列车 。支线全长约11.03千米，其中一期工程长6.13千米，二期工程长4.9千米；共设7座车站，其中一期工程设站4座，二期工程设站3座；列车设计时速100千米/小时，采用6节编组B型列车 。2023年11月20日起，深圳地铁6号线将在工作日试行“大站快车”模式。 
6号线支线,06:28,23:30,6.13,湖绿色,2022-11-28,https://baike.baidu.com/item/深圳地铁6号线/5650219?fromModule=lemma_inlink,深圳地铁6号线（Shenzhen Metro Line 6），是中国广东省深圳市境内的一条地铁线路，主线于2020年8月18日开通运营，支线一期工程于2022年11月28日通车 ，主线标志色为薄荷绿，支线标志色为湖绿色 。截至2022年11月，深圳地铁6号线主线大致呈“7字形”型走向，西北起于松岗站，途经宝安区、光明区、龙华区、罗湖区、福田区，东南止于科学馆站 ；支线一期工程起于光明站，止于深理工站 。截至2022年11月，深圳地铁6号线主线全长49.514千米，共设27座车站，其中12座地下站，15座高架站，列车设计时速100千米/小时，采用6节编组A型列车 。支线全长约11.03千米，其中一期工程长6.13千米，二期工程长4.9千米；共设7座车站，其中一期工程设站4座，二期工程设站3座；列车设计时速100千米/小时，采用6节编组B型列车 。2023年11月20日起，深圳地铁6号线将在工作日试行“大站快车”模式。 深圳地铁6号线（Shenzhen Metro Line 6），是中国广东省深圳市境内的一条地铁线路，主线于2020年8月18日开通运营，支线一期工程于2022年11月28日通车 ，主线标志色为薄荷绿，支线标志色为湖绿色 。截至2022年11月，深圳地铁6号线主线大致呈“7字形”型走向，西北起于松岗站，途经宝安区、光明区、龙华区、罗湖区、福田区，东南止于科学馆站 ；支线一期工程起于光明站，止于深理工站 。截至2022年11月，深圳地铁6号线主线全长49.514千米，共设27座车站，其中12座地下站，15座高架站，列车设计时速100千米/小时，采用6节编组A型列车 。支线全长约11.03千米，其中一期工程长6.13千米，二期工程长4.9千米；共设7座车站，其中一期工程设站4座，二期工程设站3座；列车设计时速100千米/小时，采用6节编组B型列车 。2023年11月20日起，深圳地铁6号线将在工作日试行“大站快车”模式。 
7号线,06:18,23:00,30.197,深蓝色,2016-10-28,https://baike.baidu.com/item/深圳地铁7号线/7220714?fromModule=lemma_inlink,深圳地铁7号线（Shenzhen Metro Line 7），是中国广东省深圳市境内的一条地铁线路，于2016年10月28日开通运营一期工程，其标志色为深蓝色  。截至2024年1月，深圳地铁7号线起于西丽湖站，途经南山区、福田区、罗湖区，贯穿龙珠大道、福民路、华强北路、田贝路，止于太安站。截至2024年1月，深圳地铁7号线全长30.197千米，全部为地下线；共设28座车站，全部为地下车站；列车设计时速80千米/小时，采用6节编组A型列车 。截至2024年1月，深圳地铁7号线有在建二期工程，起自西丽湖站，终于学府医院站，预计2024年开通  。截至2019年10月，深圳地铁7号线日均客流约57万人次 。深圳地铁7号线（Shenzhen Metro Line 7），是中国广东省深圳市境内的一条地铁线路，于2016年10月28日开通运营一期工程，其标志色为深蓝色  。截至2024年1月，深圳地铁7号线起于西丽湖站，途经南山区、福田区、罗湖区，贯穿龙珠大道、福民路、华强北路、田贝路，止于太安站。截至2024年1月，深圳地铁7号线全长30.197千米，全部为地下线；共设28座车站，全部为地下车站；列车设计时速80千米/小时，采用6节编组A型列车 。截至2024年1月，深圳地铁7号线有在建二期工程，起自西丽湖站，终于学府医院站，预计2024年开通  。截至2019年10月，深圳地铁7号线日均客流约57万人次 。
8号线,05:53,23:27,20.38,暗橙色,2020-10-28,https://baike.baidu.com/item/深圳地铁8号线/212965?fromModule=lemma_inlink,深圳地铁8号线（Shenzhen Metro Line 8），也称深圳地铁盐田线，是中国广东省深圳市第11条建成运营的地铁线路，一期工程于2020年10月28日开通运营，二期工程于2023年12月27日开通 ，其标志色为暗橙色 。截至2023年12月，深圳地铁8号线起于梧桐山南站，途经罗湖区、盐田区，串联罗湖、莲塘、沙头角、盐田港等区域，止于小梅沙站 ；三期工程将延伸至溪涌站 。截至2023年12月，深圳地铁8号线全长20.38千米，共设10座车站，全部为地下站  ；采用6节编组A型列车，与深圳地铁2号线贯通运营 。2023年12月27日，深圳地铁8号线二期开通运营。 深圳地铁8号线（Shenzhen Metro Line 8），也称深圳地铁盐田线，是中国广东省深圳市第11条建成运营的地铁线路，一期工程于2020年10月28日开通运营，二期工程于2023年12月27日开通 ，其标志色为暗橙色 。截至2023年12月，深圳地铁8号线起于梧桐山南站，途经罗湖区、盐田区，串联罗湖、莲塘、沙头角、盐田港等区域，止于小梅沙站 ；三期工程将延伸至溪涌站 。截至2023年12月，深圳地铁8号线全长20.38千米，共设10座车站，全部为地下站  ；采用6节编组A型列车，与深圳地铁2号线贯通运营 。2023年12月27日，深圳地铁8号线二期开通运营。 
9号线,06:00,23:00,36.18,灰茶色,2016-10-28,https://baike.baidu.com/item/深圳地铁9号线/10436497?fromModule=lemma_inlink,深圳地铁9号线（Shenzhen Metro Line 9），是中国广东省深圳市境内的一条地铁线路，于2016年10月28日开通运营一期工程，2019年12月8日开通运营二期工程，其标志色为灰茶色 。截至2022年11月，深圳地铁9号线起于前湾站，途经南山区、福田区、罗湖区，贯穿文锦、红岭、泥岗村、梅林、景田、车公庙、红树林、前海片区，止于文锦站。截至2022年11月，深圳地铁9号线全长36.18千米，全部为地下线；共设32座车站，全部为地下车站；列车设计时速为80千米/小时，采用6节编组A型列车 。截至2017年10月，深圳地铁9号线开通首日（2016年10月28日）客流为14万人次，深圳地铁9号线日均客流为27万人次，最高单日客流为2017年7月21日的29.8万人次。深圳地铁9号线（Shenzhen Metro Line 9），是中国广东省深圳市境内的一条地铁线路，于2016年10月28日开通运营一期工程，2019年12月8日开通运营二期工程，其标志色为灰茶色 。截至2022年11月，深圳地铁9号线起于前湾站，途经南山区、福田区、罗湖区，贯穿文锦、红岭、泥岗村、梅林、景田、车公庙、红树林、前海片区，止于文锦站。截至2022年11月，深圳地铁9号线全长36.18千米，全部为地下线；共设32座车站，全部为地下车站；列车设计时速为80千米/小时，采用6节编组A型列车 。截至2017年10月，深圳地铁9号线开通首日（2016年10月28日）客流为14万人次，深圳地铁9号线日均客流为27万人次，最高单日客流为2017年7月21日的29.8万人次。